StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
ANDHRA PRADESH,KRISHNA,MACHILIPATNAM,NA,AGRICULTURE,Others,Others,Weather,WEATHER INFORMATION,": CLOUDY WEATHER , CHANCE OF  SHOWERS IN YOUR AREA",2018-05-12T18:52:37.767,2018,5
ANDHRA PRADESH,CHITTOOR,VAYALPAD,NA,AGRICULTURE,Others,Others,Weather,WEATHER REPORT,WEATHER REPORT :THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA,2018-05-31T07:50:16.037,2018,5
ANDHRA PRADESH,Y S R ,KAMALAPURAM,NA,AGRICULTURE,Cereals,Paddy (Dhan),Varieties,paddy varieties,"recommended paddy varieties:sambamasoori,sonamasuri,vajram,indra,swarna,swarnamukhi,polasa prabha",2018-05-31T08:07:51.03,2018,5
ANDHRA PRADESH,KURNOOL,HALAHARVI,NA,AGRICULTURE,Others,Others,Weather,WEATHER REPORT,"NO RAIN IN YOUR AREA , CLOUDY WEATHER",2018-05-31T08:24:22.137,2018,5
ANDHRA PRADESH,NELLORE,DAGADARTHI,NA,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),Weed Management,GROUNDNUT WEED MANAGEMENT,RECOMMENDED TO SPRAY IMAZITAPYR  300- 400 ML/200 LITRES OF WATER  PER ACRE,2018-05-31T09:05:35.15,2018,5
ANDHRA PRADESH,ANANTPUR,PUTLUR,NA,HORTICULTURE,Fruits,Citrus,Nutrient Management,CITRUS NUTRIENT MANAGEMENT,RECOMMENDED TO SPRAY 13;0;45 POTASSIUM NITRATE  5 GRAMS/1 LITRE OF WATER,2018-05-31T09:20:53.75,2018,5
ANDHRA PRADESH,NELLORE,ATMAKUR,NA,HORTICULTURE,Fruits,Citrus,	Plant Protection	,ROOT ROT MANAGEMENT IN CITRUS,RECOMMENDED  TO DRENCH  COPPER OXY CHLORIDE  3 GRAMS / 1 LITRE OF WATER,2018-05-31T09:22:03.717,2018,5
ANDHRA PRADESH,ANANTPUR,BELUGUPPA,NA,AGRICULTURE,Others,Others,Weather,WEATHER REPORT,Mostly cloudy with a couple of showers and a thunderstorm,2018-05-31T17:10:35.143,2018,5
ANDHRA PRADESH,0   ,0   ,NA,AGRICULTURE,Others,Others,Weather,WEATHER REPORT,THERE IS A CHANCE  OF CLOUDY SHOWERS IN YOUR AREA,2018-05-19T13:08:44.11,2018,5
ANDHRA PRADESH,WEST GODAVARI,DENDULURU,NA,AGRICULTURE,Others,Others,Bio-Pesticides and Bio-Fertilizers,GREEN MANURE CROPS DURATION,GREEN MANURE CROPS DURATION 40 TO 45 DAYS,2018-05-19T14:06:05.77,2018,5
ANDHRA PRADESH,0   ,0   ,JAYAD,AGRICULTURE,Pulses,Pigeon pea (red gram/arhar/tur),Sowing Time and Weather,about sowing time of red gram,suggested that june to july suitable for redgram  as rainfed gram,2018-05-19T14:33:57.253,2018,5
ANDHRA PRADESH,NELLORE,JALADANKI,JAYAD,HORTICULTURE,Fruits,Citrus,	Plant Protection	,mealy bug management in citrus,recommended to spray malathion 2ml/lit of water @15 days ones.,2018-05-19T15:40:23.483,2018,5
ANDHRA PRADESH,Y S R ,KODUR,NA,AGRICULTURE,Others,Others,Weather,WEATHER REPORT,"2.  A moderate thunderstorm is likely to take place in your area. 
WEATHER REPORT ;CLOUDY WEATHER OCCUR ,THERE IS A CHANCE OF RAINFALL IN YOUR AREA",2018-05-19T15:48:00.693,2018,5
ANDHRA PRADESH,PRAKASAM,CHIRALA,NA,AGRICULTURE,Others,Others,Weather,Weather report,"WEATHER INFORMATION : CLOUDY WEATHER , CHANCE OF SHOWERS  IN YOUR AREA",2018-05-14T17:09:14.383,2018,5
ANDHRA PRADESH,KURNOOL,C.BELAGAL,NA,HORTICULTURE,Vegetables,Onion,Agriculture Mechanization,ONION DAMPING OFF MANAGEMENT,RECOMMENDED TO SPRAY COPPER OXY CHLORIDE  3  GM /1 LITRES OF WATER,2018-05-14T17:46:41.65,2018,5
ANDHRA PRADESH,GUNTUR,KAREMPUDI,NA,HORTICULTURE,Vegetables,Chillies,Seeds and Planting Material,VARIETIES IN CHILLI,"RECOMMENDE VARIETIES IN CHILLI;L.C.A-353,L.C.A-305",2018-05-14T17:52:55.003,2018,5
