StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
ANDHRA PRADESH,KRISHNA,PEDANA,NA,AGRICULTURE,Others,Others,Weather,WEATHER REPORT,"MOSTLY SUNNY, DRY WEATHER IN YOUR AREA
",2019-03-19T19:59:33.75,2019,3
ANDHRA PRADESH,GUNTUR,EDLAPADU,NA,HORTICULTURE,Flowers,Jasmine,"Water Management, Micro Irrigation",BLANK CALL,BLANK CALL,2019-03-19T16:31:19.127,2019,3
ANDHRA PRADESH,KURNOOL,KOLIMIGUNDLA,NA,AGRICULTURE,Oilseeds,"Castor (Rehri, Rendi, Arandi) ",	Plant Protection	,WHITE FLY MANAGEMENT,RECOMMENDED TO SPRAY THIAMETHOXAM 40 GRAMS /150 LITRES OF WATER / ACRE ,2019-03-19T17:35:02.913,2019,3
ANDHRA PRADESH,KRISHNA,VATSAVAI,NA,AGRICULTURE,Others,Others,Weather,weather report,WEATHER REPORT THERE IS CHANCE OF DRY WEATHER  IN YOUR AREA,2019-03-20T08:59:51.18,2019,3
ANDHRA PRADESH,VISAKHAPATNAM,K.KOTAPADU,NA,HORTICULTURE,Plantation Crops,Coconut,	Plant Protection	,COCONUT SPEAR ROT MANAGEMENT,RECOMMENDED TO DRENCH COPPER OXY CHLORIDE  3 GRAMS / 1 LITRE OF WATER ,2019-03-20T09:15:15.213,2019,3
ANDHRA PRADESH,VISAKHAPATNAM,KASIMKOTA,NA,HORTICULTURE,Vegetables,Ridge Gourd,	Plant Protection	,SUCKING PEST MANAGEMENT,"RECOMMENDED TO SPRAY  HEXACONAZOLE  (CONTAF) 400 ML /200 LITRES OF WATER / ACRE  
",2019-03-20T09:33:57.38,2019,3
ANDHRA PRADESH,KRISHNA,G.KONDURU,NA,AGRICULTURE,Others,Others,Weather,"WEATHER REPORT
","WEATHER REPORT
MOSTLY SUNNY, DRY WEATHER IN YOUR AREA
",2019-03-20T09:42:00.77,2019,3
ANDHRA PRADESH,SRIKAKULAM,BHAMINI,NA,HORTICULTURE,Vegetables,Brinjal,	Plant Protection	,BRINJAL SHOOT BORER MANAGEMENT,"RECOMMENDED TO SPRAY THIODICARB 300 GR 200 LITRES OF WATER / ACRE   
",2019-03-20T10:09:35.663,2019,3
ANDHRA PRADESH,KURNOOL,GADIVEMULA,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Market Information,INFORMATION ABOUT MARKET PRICE,"RECOMMENDED COTTON 5370/- QUINTAL , DRY CHILLIES:7800/-QUINTAL",2019-03-19T12:21:00.443,2019,3
ANDHRA PRADESH,KURNOOL,YEMMIGANUR,NA,AGRICULTURE,Others,Others,Government Schemes,WHO ARE ELIGIBLE FOR P.M KISAN ,"1.SHOULD HAVE LESS THAN 5 ACRES 
2.SHOULD NOT BE A GOVERNMENT EMPLOYEE",2019-03-19T12:39:07.603,2019,3
ANDHRA PRADESH,Y S R ,KAMALAPURAM,NA,HORTICULTURE,Vegetables,Chillies,	Plant Protection	,INFORMATION ABOUT CHILLI NUTRIENT MANAGEMENT,"RECOMMENDED TO SPRAY POTASSIUM NITRATE (13-0-45) 5 GRAMS/1 LITRE OF WATER  
",2019-03-19T13:22:10.227,2019,3
ANDHRA PRADESH,PRAKASAM,SANTHAMAGULURU,NA,HORTICULTURE,Vegetables,Cucumber,	Plant Protection	,MANAGEMENT OF WEEDS IN CUCUMBER,"RECOMMENDED TO SPRAY PENDIMETHALIN (STAMP) 1 LITRE /200 LITRES OF WATER ACRE 
",2019-03-18T18:25:46.733,2019,3
ANDHRA PRADESH,ANANTPUR,NARPALA,NA,HORTICULTURE,Fruits,Citrus,Nutrient Management,CITRUS MICRO NUTRIENT MANAGEMENT,Recommended to  spray  -Zinc sulphate-5g +Copper sulphate-3g+ Magnesium sulphate-2g +ferrous sulphate-2.5g + Manganese sulphate-2g + Borax 1g+Lime-6g + Urea-10g +Water-1 lit,2019-03-18T18:45:26.06,2019,3
ANDHRA PRADESH,ANANTPUR,NARPALA,NA,HORTICULTURE,Fruits,Citrus,Nutrient Management,CITRUS MICRO NUTRIENT MANAGEMENT,Citrus micro nutrient management: recommended to spray -Zinc sulphate-5g +Copper sulphate-3g+ Magnesium sulphate-2g +ferrous sulphate-2.5g + Manganese sulphate-2g + Borax 1g+Lime-6g + Urea-10g +Water-1 lit,2019-03-18T18:53:31.96,2019,3
ANDHRA PRADESH,CHITTOOR,RAMAKUPPAM,NA,HORTICULTURE,Vegetables,Tomato,Nutrient Management,FERTILISER DOSAGES: ,RECOMMENDED TO SPRAY ZINC SULPHATE  5 GRAMS / 1 LITRE OF WATER,2019-03-18T19:08:01.573,2019,3
