StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,NA,AGRICULTURE,Others,Others,"Power, Roads etc.",FARM POND CONSTRUCTION IN HORTICULTURAL FIELDS,RECOMMENDED TO CONTACT HORTICULTURAL OFFICER FOR ANY SUBSIDY ON FARM PONDS	(AMALAPURAM	Ch. Srinivasulu	Assistant Director of Horticulture	7995086766),2019-05-31T10:57:22.287,2019,5
ANDHRA PRADESH,NELLORE,ANUMASAMUDRAMPETA,NA,AGRICULTURE,Others,Others,Weather,WEATHER REPORT,WEATHER REPORT Partly sunny; low humidity; air quality will be unhealthy for sensitive groups,2019-05-31T11:14:33.49,2019,5
ANDHRA PRADESH,KURNOOL,DEVANAKONDA,NA,AGRICULTURE,Others,Others,Weather,WEATHER REPORT,"WEATHER REPORT
THERE IS A CHANCE  OF CLOUDY WEATHER BUT  NO CHANCE OF SHOWERS IN YOUR AREA. ",2019-05-31T15:40:34.6,2019,5
ANDHRA PRADESH,ANANTPUR,BOMMANAHAL,NA,AGRICULTURE,Others,Others,Weather,WEATHER INFORMATION ,": CLOUDY WEATHER , CHANCE OF SHOWERS  IN YOUR AREA 
",2019-05-31T16:27:44.74,2019,5
ANDHRA PRADESH,KURNOOL,TUGGALI,NA,AGRICULTURE,Others,Others,Weather,WEATHER INFORMATION : ,"CLOUDY WEATHER , CHANCE OF SHOWERS  IN YOUR AREA 
",2019-05-31T16:59:13.733,2019,5
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,NA,AGRICULTURE,Others,Others,Government Schemes,BANK DETAILS ,"GOVERNMENT SCHEMES: PLEASE CONTACT THE NEAREST BANK BRANCH
 
",2019-05-31T17:10:46.587,2019,5
ANDHRA PRADESH,NELLORE,PODALAKUR,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,SUCKING PEST MANAGEMENT,RECOMMENDED TO SPRAY THIAMETHOXAM (ACTARA/CRULSER) 40 GRAMS /200 LITRES OF WATER / ACRE   ,2019-05-31T11:53:48.71,2019,5
ANDHRA PRADESH,KRISHNA,A.KONDURU,NA,AGRICULTURE,Others,Others,"Power, Roads etc.",ABOUT SUBSIDY ON MOTORS,A.Konduru  8886613383,2019-05-31T12:53:31.31,2019,5
ANDHRA PRADESH,NELLORE,KALIGIRI,NA,AGRICULTURE,Others,Others,Weather,WEATHER REPORT : ,"THERE IS A CHANCE OF CLOUDY WEATHER, SHOWERS IN YOUR AREA 
",2019-05-30T16:01:54.65,2019,5
ANDHRA PRADESH,WEST GODAVARI,AKIVIDU,NA,ANIMAL HUSBANDRY,Animal,"Bovine(Cow,Buffalo)",Dairy Production,DAIRY PRODUCTION,DAIRY PRODUCTION INFORMATION 9872293013,2019-05-30T16:15:29.683,2019,5
ANDHRA PRADESH,ANANTPUR,KADIRI,NA,HORTICULTURE,Fruits,Banana,	Plant Protection	,ROT MANAGEMENT ,RECOMMENDED  TO DRENCH COPPER OXY CHLORIDE  3 GRAMS / 1 LITRE OF WATER  ,2019-05-30T16:34:48.43,2019,5
