StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
ANDHRA PRADESH,WEST GODAVARI,ACHANTA,NA,AGRICULTURE,Cereals,Paddy (Dhan),Government Schemes,farmer asked query about on Rythu barosa amount status  ,recommended to contact vaa (village agriculture assistant ) in RBK,2023-03-01T12:03:31.13,2023,3
ANDHRA PRADESH,ANANTPUR,RODDAM,NA,HORTICULTURE,Fruits,Mango,	Plant Protection	,FARMER ASKED QUERY ABOUT ON MANGO LEAF HOPPER MANAGEMENT ,RECOMMENDED TO DIMETHOATE 2ML/1 LTR OF WATER ,2023-03-01T12:31:28.607,2023,3
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,NA,HORTICULTURE,Fruits,Mango,Nutrient Management,  FARMER ASKED QUERY ON NUTRIENT MANAGEMENT IN MANGO-FRUIT DROPPING,RECOMMENDED TO SPRAY NAPHTHALENE ACETIC ACID ( PLANOFIX) 50 ML/ 200 LITRES OF WATER /ACRE ప్లానోఫిక్స్ 50  మిల్లి లీటర్లు / 200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి. ,2023-03-01T12:32:05.11,2023,3
ANDHRA PRADESH,GUNTUR,0   ,NA,HORTICULTURE,Fruits,Almond,Government Schemes,"Asked about PM Kisan samman nidhi Yojana
","-- ಉಪ ಕೃಷಿ ನಿರ್ದೇಶಕರು (ಯೋಜನೆ ) 08022074156 08022074114 ಉಪ ಕೃಷಿ ನಿರ್ದೇಶಕರು (ಇ-ಆಡಳಿತ,ರೈ.ಸಂ.ಕೇಂದ್ರ ಮತ್ತು ತರಬೇತಿ,ಪಿಎಂ - ಕಿಸಾನ್ ಮತ್ತು ರಾಷ್ಟ್ರೀಯ ಕೃಷಿ ವಿಕಾಸ ಯೋಜನಾ  ) 8277929824  08022074138  08022074163  08022074132  08022074161 08022074132 ,08022074192, 08022275038, 8277929824
",2023-03-01T12:33:35.573,2023,3
ANDHRA PRADESH,KURNOOL,CHAGALAMARRI,NA,AGRICULTURE,Cereals,Paddy (Dhan),Government Schemes,FARMER ASKED QUERY ABOUT ON RYTHU BAROSA AMOUNT STATUS ,RECOMMENDED TO CONTACT VAA (VILLAGE AGRICULTURE ASSISTANT ) IN RBK,2023-03-01T12:42:42.953,2023,3
ANDHRA PRADESH,PRAKASAM,TRIPURANTHAKAM,NA,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED QUERY ON PM KISAN 13 TH INSTALLMENT STATUS,"Registration Status: Registration done ( AP299307051 )


PFMS / Bank Status: Farmer Record has been accepted by PFMS / Bank	
PFMS Response Date: 28/04/2022
 RECOMMENDED TO WAIT FOR 2-3 DAYS FOR PM KISAN 13TH INSTALMENT  UPDATE STATUS
",2023-03-01T09:09:21.41,2023,3
ANDHRA PRADESH,GUNTUR,PHIRANGIPURAM,NA,AGRICULTURE,Oilseeds,Sesame (Gingelly/Til)/Sesamum,Fertilizer Use and Availability,farmer asked query about on fertilizer schedule in sesamum crop ,recommended to apply urea on sesamum crop,2023-03-01T09:46:02.337,2023,3
ANDHRA PRADESH,PRAKASAM,ARDHAVEEDU,NA,AGRICULTURE,Others,Others,Government Schemes,"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI YOJANA SCHEME 
","RECOMMENDED TO CONTACT MANDAL AGRICULTURAL OFFICER
",2023-03-01T10:10:57.61,2023,3
ANDHRA PRADESH,Y S R ,KAMALAPURAM,NA,AGRICULTURE,Pulses,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Market Information,FARMER ASKED QUERY ON MARKET INFORMATION OF BENGAL GRAM,"                                                                                                           Min Price	Modal Price	Max Price
ANDHRA PRADESH	KURNOOL	CHANA (BENGAL GRAM)	3,000	  4,651	         4,651",2023-03-02T20:24:51.4,2023,3
ANDHRA PRADESH,PRAKASAM,DARSI,NA,HORTICULTURE,Vegetables,Bhindi(Okra/Ladysfinger),Seeds and Planting Material,FARMER ASKED QUERY ON SOWING TIME OF BHINDI,RECOMMENDED SOWING TIME OF BHINDI IS JANUARY - FEBRUARY,2023-03-03T08:00:25.543,2023,3
ANDHRA PRADESH,PRAKASAM,KANIGIRI,NA,HORTICULTURE,Vegetables,Brinjal,	Plant Protection	,Farmer asked about leaf eating caterpillar management in brinjal,RECOMMENDED TO SPRAY FLUBENDIAMIDE  (FAME) 40 ML /200 LITRES OF WATER / ACRE,2023-03-03T08:48:55.653,2023,3
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,NA,HORTICULTURE,Flowers,Rose,	Plant Protection	,FARMER ASKED QUERY ON SUCKING PEST(THRIPS) MANAGEMENT IN ROSE?,"RECOMMENDED TO SPRAY DIMETHOATE (ROGER)  400 ML /200 LITRES OF WATER /ACRE 
OR
RECOMMENDED TO SPRAY DIFENTHIURON(PEGASUS) 240 GM /150 LITRES OF WATER /ACRE 
OR
RECOMMENDED TO SPRAY THIAMETHOXAM (ACTARA/CRULSER) 40 GRAMS /200 LITRES OF WATER / ACRE  ",2023-03-02T12:09:14.69,2023,3
ANDHRA PRADESH,PRAKASAM,PULLALACHERUVU,NA,HORTICULTURE,Vegetables,Chillies,	Plant Protection	,FARMER ASKED QUERY ON  CHILLI MIDGE CONTROL  IN CHILLIES,RECOMMENDED TO SPRAY BELT EXPERT ( FLUBENDAMIDE  + THIACHLOPRID ) @ 80 ML PER ACRE,2023-03-02T12:43:34.063,2023,3
