StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
ANDHRA PRADESH,WEST GODAVARI,KALLA,NA,AGRICULTURE,Cereals,Paddy (Dhan),Market Information,FARMER ASKED QUERY ON PADDY MARKET INFORMATION?,"8331056758	West Godavari	SRI R.LAKSHMANA RAO	DY.S.O	O/o JDA, Eluru	
8331056760	West Godavari	SRI R.LAKSHMANA RAO	ASO	O/o JDA, Eluru
",2021-05-03T15:48:43.48,2021,5
ANDHRA PRADESH,SRIKAKULAM,VEERAGHATTAM,NA,AGRICULTURE,Others,Others,Government Schemes,farmer asked query on pm kisan ?,Waiting for approval by state,2021-05-03T15:54:20.86,2021,5
ANDHRA PRADESH,VISAKHAPATNAM,KOTAURATLA,NA,AGRICULTURE,Others,Others,	Plant Protection	,farmer asked about pm kisan ?,--RECOMMENDED TROLL FREE NUMBER : 18001105526 ; 011-24300606,2021-05-03T17:03:05.233,2021,5
ANDHRA PRADESH,VIZIANAGARM,GANTYADA,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"CLOUDY WEATHER , CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతం లో వాతావరణం మబ్బులుగా ఉంటుంది , జల్లులు పడే అవకాశం కలదు.",2021-05-03T17:45:49.643,2021,5
ANDHRA PRADESH,ANANTPUR,KUNDURPI,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"THERE IS A CHANCE  OF CLOUDY WEATHER BUT  NO CHANCE OF SHOWERS IN YOUR AREA.
మీ  ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది కానీ జల్లులు  అవకాశం లేదు. 

",2021-05-03T18:49:34.167,2021,5
ANDHRA PRADESH,NELLORE,DAKKILI,NA,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),	Plant Protection	,FARMER ASKED QUERY ON  SEED TREATMENT  OF GROUND NUT?,"RECOMMENDED TO  SEED TREATMENT  OF GROUND NUT- MANCOZEB- 3GR/ 1 KG SEED AND
  IMIDACHLOPRID-5 GR/1KG SEEDS",2021-05-03T19:12:53.66,2021,5
ANDHRA PRADESH,VISAKHAPATNAM,MADUGULA,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"వాతావరణం మబ్బులుగా ఉంటుంది , జల్లులు పడే అవకాశం కలదు",2021-05-03T19:24:23.61,2021,5
ANDHRA PRADESH,CHITTOOR,GUDIPALA,NA,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,farmer asked about stem borer management in paddy crop  ?,"--RECOMMENDED TO SPRAY CHLORANTRANILIPROLE (CORAGIN) 60 ML/150 LITRES OF WATER / ACRE    క్లోరాంత్రనిలిప్రోల్  60 మిల్లి లీటర్లు   /150 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి
",2021-05-03T20:25:38.01,2021,5
ANDHRA PRADESH,VIZIANAGARM,SRUNGAVARAPUKOTA,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"WEATHER REPORT:	
THERE IS A CHANCE OF CLOUDY SHOWERS IN YOUR AREA  
 మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది ,జల్లులు  పడే అవకాశం ఉంది 
",2021-05-03T20:47:15.577,2021,5
ANDHRA PRADESH,Y S R ,OBULAVARIPALLE,NA,HORTICULTURE,Vegetables,Onion,Cultural Practices,FARMER ASKED QUERY ON ONION SOWING TIME?,RECOMMENDED TO ONION SOWING TIME- JUNE TO JULY  IN KHARIFF SEASON,2021-05-03T21:52:52.337,2021,5
ANDHRA PRADESH,EAST GODAVARI,UPPALAGUPTAM,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది ,2021-05-04T06:29:23.867,2021,5
ANDHRA PRADESH,KURNOOL,TUGGALI,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం మొబ్బులతో ఉంటుంది ,జల్లులు పడే అవకాశం ఉంది
",2021-05-04T07:37:33.383,2021,5
