StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
ANDHRA PRADESH,ANANTPUR,GORANTLA,NA,AGRICULTURE,Oilseeds,"Castor (Rehri, Rendi, Arandi) ",5,vareities of  castor,"kranthi,kiran,harirha",2011-05-27T03:46:00,2011,5
ANDHRA PRADESH,ANANTPUR,BRAHMASAMUDRAM,NA,AGRICULTURE,Others,Others,0,control of weed in field,NA,2011-05-27T03:46:00,2011,5
ANDHRA PRADESH,NELLORE,0   ,NA,AGRICULTURE,Cereals,1137,Cultural Practices,srivari cultivation,given information as per the data,2011-05-27T04:20:00,2011,5
ANDHRA PRADESH,Y S R ,KONDAPURAM,NA,HORTICULTURE,Fruits,Banana,0,control of root rot in banana,spraying copper oxi choloride 3g /1 lit  water,2011-05-27T05:00:00,2011,5
ANDHRA PRADESH,PRAKASAM,GUDLURU,NA,HORTICULTURE,Fruits,Banana,0,asked about banana cultivation,recommended as per guide lines,2011-05-05T09:13:00,2011,5
ANDHRA PRADESH,Y S R ,CHAKRAYAPET,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),0,cotton flower drop control,"spray NAA 10 PPM,",2011-05-05T09:13:00,2011,5
ANDHRA PRADESH,ANANTPUR,KANAGANAPALLE,RABI,HORTICULTURE,Fruits,Citrus,0,fertilizer application in chini nimma,recommanded information has given,2011-05-06T02:45:00,2011,5
ANDHRA PRADESH,CHITTOOR,VEDURUKUPPAM,RABI,HORTICULTURE,Fruits,Citrus,Fertilizer Use and Availability,micro nutrient defeciency in citrus,NA,2011-05-06T02:45:00,2011,5
ANDHRA PRADESH,CHITTOOR,CHITTOOR,NA,HORTICULTURE,Vegetables,2108,0,tomato flower drop,planofix 2.5ml/10lt,2011-05-14T05:29:00,2011,5
ANDHRA PRADESH,NELLORE,SYDAPURAM,NA,AGRICULTURE,Fodder Crops,Teosinte,0,asked about seed rate,information given as per data,2011-05-14T05:29:00,2011,5
